F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,0 of 0,9 of 21,0 of 0,4 of 5,5 of 16,0 of 0,1 of 1,18 of 36,2 of 2,3 of 4,14 of 31,0:35,0,0,16%,1 of 6,10 of 22,42%,9 of 21,0,0:26,0,0,---,0 of 0,22 of 40,51%,19 of 37,1,3,http://ufcstats.com/fight-details/69f39e5d959311b1
0 of 0,0 of 2,25 of 84,7 of 9,5 of 12,13 of 65,0 of 0,0 of 2,29 of 82,10 of 10,4 of 10,15 of 64,0:00,0,0,---,0 of 0,25 of 86,29%,25 of 86,0,0:00,0,0,---,0 of 0,29 of 84,34%,29 of 84,0,1,http://ufcstats.com/fight-details/25f3e4fa781c1c8a
0 of 0,2 of 3,21 of 91,6 of 6,5 of 14,12 of 74,0 of 0,0 of 0,43 of 95,7 of 7,7 of 12,29 of 76,0:00,0,0,---,0 of 0,23 of 94,24%,23 of 94,0,0:00,0,0,---,0 of 0,43 of 95,45%,43 of 95,0,2,http://ufcstats.com/fight-details/25f3e4fa781c1c8a
0 of 0,2 of 3,26 of 103,7 of 8,11 of 14,10 of 84,0 of 1,2 of 3,24 of 96,7 of 9,5 of 6,14 of 85,0:00,0,0,---,0 of 0,28 of 106,26%,28 of 106,0,0:14,0,0,50%,1 of 2,27 of 101,26%,26 of 100,0,3,http://ufcstats.com/fight-details/25f3e4fa781c1c8a
0 of 0,0 of 0,25 of 62,8 of 8,2 of 3,15 of 51,0 of 0,0 of 0,26 of 80,2 of 4,6 of 10,18 of 66,0:00,0,0,0%,0 of 2,25 of 62,40%,25 of 62,0,0:00,0,0,---,0 of 0,26 of 80,32%,26 of 80,0,1,http://ufcstats.com/fight-details/d325a1483d78ae75
0 of 0,1 of 1,32 of 55,6 of 6,2 of 3,25 of 47,0 of 0,1 of 3,53 of 126,3 of 3,5 of 9,46 of 117,0:00,0,0,0%,0 of 3,33 of 56,58%,33 of 56,0,0:00,0,0,---,0 of 0,54 of 129,41%,54 of 129,0,2,http://ufcstats.com/fight-details/d325a1483d78ae75
3 of 10,0 of 0,4 of 10,1 of 1,1 of 2,5 of 17,7 of 7,0 of 0,6 of 11,3 of 3,1 of 2,9 of 13,1:32,0,0,---,0 of 0,25 of 42,35%,7 of 20,0,1:36,0,0,100%,1 of 1,17 of 22,72%,13 of 18,0,1,http://ufcstats.com/fight-details/2d36e2c10ee349fe
0 of 1,0 of 0,1 of 4,0 of 0,1 of 2,0 of 3,0 of 0,0 of 0,1 of 3,1 of 1,0 of 0,0 of 2,2:45,1,0,100%,1 of 1,29 of 34,20%,1 of 5,0,0:46,2,1,---,0 of 0,12 of 14,33%,1 of 3,0,2,http://ufcstats.com/fight-details/2d36e2c10ee349fe
4 of 4,0 of 0,2 of 6,0 of 0,1 of 2,5 of 8,2 of 2,0 of 0,3 of 9,1 of 1,0 of 2,4 of 8,0:27,0,0,100%,1 of 1,22 of 27,60%,6 of 10,0,3:10,1,1,0%,0 of 1,28 of 41,45%,5 of 11,0,3,http://ufcstats.com/fight-details/2d36e2c10ee349fe
3 of 4,4 of 7,20 of 39,3 of 3,0 of 0,24 of 47,1 of 3,8 of 10,17 of 45,2 of 2,7 of 10,17 of 46,0:46,0,0,100%,1 of 1,46 of 72,54%,27 of 50,0,2:02,0,1,28%,2 of 7,31 of 64,44%,26 of 58,0,1,http://ufcstats.com/fight-details/f4d8266a42a41dff
0 of 0,1 of 2,10 of 16,1 of 2,2 of 2,8 of 14,2 of 2,0 of 2,9 of 23,1 of 1,0 of 2,10 of 24,0:01,0,0,---,0 of 0,42 of 55,61%,11 of 18,0,3:28,0,0,37%,3 of 8,54 of 78,40%,11 of 27,0,2,http://ufcstats.com/fight-details/f4d8266a42a41dff
0 of 0,0 of 0,4 of 13,0 of 1,1 of 1,3 of 11,4 of 6,4 of 5,12 of 25,0 of 0,5 of 6,15 of 30,0:00,0,0,---,0 of 0,20 of 30,30%,4 of 13,0,3:47,0,0,40%,2 of 5,86 of 109,55%,20 of 36,0,3,http://ufcstats.com/fight-details/f4d8266a42a41dff
0 of 0,8 of 9,5 of 16,2 of 3,4 of 6,7 of 16,0 of 0,0 of 0,7 of 14,1 of 1,1 of 1,5 of 12,0:29,0,0,50%,1 of 2,36 of 49,52%,13 of 25,0,2:57,0,0,0%,0 of 1,33 of 40,50%,7 of 14,0,1,http://ufcstats.com/fight-details/cea6760d7bfbe19b
1 of 4,0 of 0,8 of 17,0 of 0,7 of 10,2 of 11,1 of 2,2 of 2,2 of 11,0 of 0,1 of 1,4 of 14,0:07,0,0,0%,0 of 2,23 of 35,42%,9 of 21,0,3:51,0,0,50%,1 of 2,13 of 24,33%,5 of 15,0,2,http://ufcstats.com/fight-details/cea6760d7bfbe19b
0 of 0,4 of 5,12 of 48,1 of 1,2 of 10,13 of 42,0 of 0,1 of 2,27 of 36,5 of 5,3 of 4,20 of 29,0:32,0,0,0%,0 of 3,20 of 58,30%,16 of 53,0,1:07,0,0,0%,0 of 1,30 of 40,73%,28 of 38,0,3,http://ufcstats.com/fight-details/cea6760d7bfbe19b
0 of 0,0 of 0,15 of 42,5 of 5,1 of 5,9 of 32,0 of 0,1 of 1,34 of 59,16 of 17,7 of 8,12 of 35,0:34,0,0,100%,2 of 2,17 of 44,35%,15 of 42,0,0:00,0,0,---,0 of 0,35 of 60,58%,35 of 60,0,1,http://ufcstats.com/fight-details/1b204fc28bb023e6
0 of 0,2 of 3,18 of 53,6 of 6,3 of 4,11 of 46,0 of 0,7 of 8,33 of 78,17 of 18,14 of 15,9 of 53,0:09,0,0,100%,1 of 1,21 of 57,35%,20 of 56,0,0:00,0,0,---,0 of 0,40 of 86,46%,40 of 86,0,2,http://ufcstats.com/fight-details/1b204fc28bb023e6
0 of 0,6 of 9,17 of 54,0 of 0,5 of 5,18 of 58,0 of 0,4 of 4,39 of 96,19 of 21,14 of 16,10 of 63,0:06,0,0,---,0 of 0,26 of 67,36%,23 of 63,0,0:00,0,0,0%,0 of 1,43 of 100,43%,43 of 100,0,3,http://ufcstats.com/fight-details/1b204fc28bb023e6
0 of 0,0 of 0,3 of 13,0 of 0,2 of 2,1 of 11,4 of 4,0 of 0,8 of 12,0 of 0,5 of 5,7 of 11,0:10,0,0,---,0 of 0,6 of 16,23%,3 of 13,0,4:20,0,0,66%,2 of 3,52 of 57,75%,12 of 16,0,1,http://ufcstats.com/fight-details/1e8c33b1917fe1b7
4 of 4,0 of 0,2 of 11,0 of 1,0 of 0,6 of 14,8 of 8,0 of 0,1 of 6,0 of 0,3 of 3,6 of 11,1:14,1,1,---,0 of 0,14 of 26,40%,6 of 15,0,3:06,0,0,100%,2 of 2,25 of 30,64%,9 of 14,0,2,http://ufcstats.com/fight-details/1e8c33b1917fe1b7
3 of 3,5 of 5,0 of 2,0 of 0,0 of 0,8 of 10,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1:25,0,0,100%,1 of 1,18 of 20,80%,8 of 10,0,2:52,0,1,100%,2 of 2,42 of 43,---,0 of 0,0,3,http://ufcstats.com/fight-details/1e8c33b1917fe1b7
0 of 0,3 of 3,4 of 7,0 of 0,4 of 4,3 of 6,1 of 1,1 of 1,4 of 8,3 of 4,1 of 1,2 of 5,0:56,0,0,---,0 of 0,22 of 27,70%,7 of 10,1,2:59,0,0,100%,1 of 1,42 of 49,60%,6 of 10,0,1,http://ufcstats.com/fight-details/4011cdf1f182804c
2 of 2,0 of 0,2 of 10,1 of 1,0 of 0,3 of 11,14 of 15,0 of 0,1 of 1,7 of 8,1 of 1,7 of 7,0:00,0,0,---,0 of 0,28 of 39,33%,4 of 12,0,4:29,0,0,100%,2 of 2,58 of 64,93%,15 of 16,0,2,http://ufcstats.com/fight-details/4011cdf1f182804c
0 of 0,13 of 13,12 of 25,0 of 0,16 of 16,9 of 22,0 of 0,14 of 19,19 of 29,0 of 0,11 of 14,22 of 34,1:52,0,0,---,0 of 0,50 of 66,65%,25 of 38,0,2:16,0,0,0%,0 of 3,60 of 77,68%,33 of 48,0,3,http://ufcstats.com/fight-details/4011cdf1f182804c
0 of 0,0 of 0,27 of 52,3 of 3,1 of 2,23 of 47,0 of 0,2 of 3,30 of 63,3 of 4,5 of 7,24 of 55,0:29,0,0,0%,0 of 2,30 of 55,51%,27 of 52,0,0:00,0,0,---,0 of 0,33 of 67,48%,32 of 66,0,1,http://ufcstats.com/fight-details/904cf687d22bb486
2 of 2,0 of 0,18 of 48,0 of 0,5 of 6,15 of 44,1 of 1,0 of 1,37 of 71,4 of 4,8 of 9,26 of 60,1:38,0,0,66%,2 of 3,26 of 56,40%,20 of 50,0,0:00,0,0,---,0 of 0,57 of 92,52%,38 of 73,0,2,http://ufcstats.com/fight-details/904cf687d22bb486
0 of 0,0 of 0,30 of 54,1 of 1,4 of 5,25 of 48,0 of 0,0 of 0,34 of 64,5 of 6,9 of 13,20 of 45,0:00,0,0,---,0 of 0,30 of 54,55%,30 of 54,0,0:00,0,0,---,0 of 0,34 of 64,53%,34 of 64,0,3,http://ufcstats.com/fight-details/904cf687d22bb486
0 of 0,0 of 0,25 of 56,1 of 1,5 of 5,19 of 50,0 of 0,4 of 5,20 of 42,4 of 4,5 of 7,15 of 36,0:49,0,0,0%,0 of 1,30 of 62,44%,25 of 56,0,0:00,0,0,---,0 of 0,36 of 59,51%,24 of 47,0,4,http://ufcstats.com/fight-details/904cf687d22bb486
0 of 0,0 of 1,24 of 51,1 of 2,2 of 4,21 of 46,0 of 0,3 of 3,22 of 58,3 of 5,6 of 9,16 of 47,0:33,0,0,0%,0 of 4,32 of 61,46%,24 of 52,0,0:00,0,0,---,0 of 0,33 of 71,40%,25 of 61,0,5,http://ufcstats.com/fight-details/904cf687d22bb486
0 of 1,2 of 2,29 of 47,21 of 21,5 of 6,5 of 23,7 of 14,5 of 6,21 of 39,2 of 2,10 of 12,21 of 45,0:20,0,0,100%,1 of 1,38 of 57,62%,31 of 50,0,1:16,1,0,0%,0 of 1,35 of 61,55%,33 of 59,1,1,http://ufcstats.com/fight-details/1af23e7aa71a1d17
0 of 0,1 of 3,19 of 26,11 of 13,4 of 4,5 of 12,6 of 10,7 of 8,16 of 25,5 of 5,5 of 6,19 of 32,0:00,0,0,---,0 of 0,22 of 31,68%,20 of 29,0,2:14,0,0,---,0 of 0,31 of 45,67%,29 of 43,1,2,http://ufcstats.com/fight-details/1af23e7aa71a1d17
11 of 14,5 of 5,1 of 1,0 of 0,1 of 2,16 of 18,0 of 0,2 of 2,1 of 1,0 of 0,2 of 2,1 of 1,4:24,0,1,100%,3 of 3,58 of 62,85%,17 of 20,0,0:13,0,0,0%,0 of 2,4 of 4,100%,3 of 3,0,1,http://ufcstats.com/fight-details/759c55755d70f7ba
0 of 0,2 of 4,6 of 17,0 of 0,4 of 4,4 of 17,14 of 20,26 of 29,18 of 28,0 of 0,10 of 10,48 of 67,0:39,0,0,0%,0 of 2,8 of 21,38%,8 of 21,0,0:58,0,0,0%,0 of 2,103 of 128,75%,58 of 77,0,2,http://ufcstats.com/fight-details/759c55755d70f7ba
0 of 0,2 of 2,20 of 46,1 of 2,11 of 14,10 of 32,0 of 0,6 of 6,17 of 26,6 of 7,4 of 4,13 of 21,0:00,0,0,---,0 of 0,25 of 52,45%,22 of 48,0,0:30,0,0,0%,0 of 2,23 of 32,71%,23 of 32,0,1,http://ufcstats.com/fight-details/96d4fe315722d1c1
0 of 0,1 of 1,14 of 26,6 of 9,5 of 5,4 of 13,3 of 5,5 of 6,9 of 18,4 of 5,2 of 4,11 of 20,0:00,0,0,---,0 of 0,17 of 30,55%,15 of 27,0,2:16,0,0,100%,1 of 1,35 of 48,58%,17 of 29,0,2,http://ufcstats.com/fight-details/96d4fe315722d1c1
0 of 0,1 of 3,17 of 48,3 of 4,6 of 7,9 of 40,0 of 0,4 of 4,16 of 26,2 of 2,2 of 4,16 of 24,0:03,0,0,0%,0 of 1,19 of 52,35%,18 of 51,0,1:43,0,0,50%,1 of 2,20 of 30,66%,20 of 30,0,3,http://ufcstats.com/fight-details/96d4fe315722d1c1
0 of 0,2 of 2,3 of 6,1 of 1,2 of 2,2 of 5,3 of 3,1 of 2,4 of 12,0 of 0,2 of 2,6 of 15,0:00,0,0,0%,0 of 4,6 of 9,62%,5 of 8,0,0:03,0,0,---,0 of 0,8 of 17,47%,8 of 17,1,1,http://ufcstats.com/fight-details/59695aae245cca73
0 of 0,1 of 1,23 of 56,5 of 5,5 of 8,14 of 44,0 of 0,0 of 0,31 of 55,7 of 9,12 of 15,12 of 31,0:04,0,0,0%,0 of 1,24 of 57,42%,24 of 57,0,0:03,0,0,---,0 of 0,31 of 55,56%,31 of 55,0,1,http://ufcstats.com/fight-details/8252a314c778b8e6
0 of 0,0 of 0,29 of 55,11 of 11,4 of 5,14 of 39,2 of 2,3 of 5,32 of 55,6 of 6,10 of 13,21 of 43,0:28,0,0,0%,0 of 1,29 of 55,52%,29 of 55,0,0:03,0,0,---,0 of 0,37 of 62,59%,37 of 62,2,2,http://ufcstats.com/fight-details/8252a314c778b8e6
4 of 7,2 of 3,17 of 59,1 of 2,7 of 11,15 of 56,0 of 0,0 of 0,19 of 44,4 of 4,3 of 6,12 of 34,0:59,0,0,100%,1 of 1,31 of 77,33%,23 of 69,0,0:39,0,0,25%,1 of 4,19 of 45,43%,19 of 44,0,3,http://ufcstats.com/fight-details/8252a314c778b8e6
0 of 1,0 of 0,19 of 60,0 of 0,2 of 2,17 of 59,2 of 2,0 of 1,34 of 72,0 of 0,1 of 1,35 of 74,0:04,0,0,---,0 of 0,19 of 61,31%,19 of 61,0,1:10,0,0,71%,5 of 7,38 of 77,48%,36 of 75,0,1,http://ufcstats.com/fight-details/860050f211b44d10
0 of 0,0 of 0,7 of 24,0 of 0,2 of 3,5 of 21,6 of 7,1 of 1,29 of 58,1 of 1,2 of 3,33 of 62,0:00,0,0,---,0 of 0,12 of 29,29%,7 of 24,0,2:42,0,0,50%,1 of 2,61 of 92,54%,36 of 66,0,2,http://ufcstats.com/fight-details/860050f211b44d10
0 of 0,0 of 0,8 of 17,1 of 1,0 of 0,7 of 16,5 of 6,3 of 6,3 of 11,0 of 0,1 of 1,10 of 22,0:00,0,0,---,0 of 0,25 of 34,47%,8 of 17,0,3:45,0,0,75%,3 of 4,30 of 45,47%,11 of 23,0,3,http://ufcstats.com/fight-details/860050f211b44d10
0 of 0,0 of 0,1 of 2,1 of 1,0 of 0,0 of 1,0 of 0,4 of 4,0 of 4,2 of 3,0 of 0,2 of 5,0:00,0,0,---,0 of 0,1 of 2,50%,1 of 2,0,1:25,0,1,100%,2 of 2,7 of 11,50%,4 of 8,0,1,http://ufcstats.com/fight-details/b4bbc1b7efa770f5
0 of 1,3 of 3,18 of 52,1 of 2,2 of 4,18 of 50,1 of 1,4 of 5,14 of 47,3 of 5,9 of 13,7 of 35,0:01,0,0,---,0 of 0,22 of 57,37%,21 of 56,0,0:17,0,0,33%,1 of 3,20 of 54,35%,19 of 53,0,1,http://ufcstats.com/fight-details/60bd4d2878c85f70
0 of 0,4 of 4,13 of 39,1 of 1,4 of 5,12 of 37,2 of 2,13 of 14,19 of 35,4 of 4,17 of 18,13 of 29,0:00,0,0,---,0 of 0,20 of 46,39%,17 of 43,0,1:16,0,0,75%,3 of 4,37 of 54,66%,34 of 51,0,2,http://ufcstats.com/fight-details/60bd4d2878c85f70
0 of 0,7 of 7,24 of 49,1 of 2,5 of 6,25 of 48,0 of 0,16 of 16,14 of 40,2 of 2,16 of 17,12 of 37,0:29,0,0,0%,0 of 1,36 of 61,55%,31 of 56,0,0:23,0,0,25%,1 of 4,32 of 58,53%,30 of 56,0,3,http://ufcstats.com/fight-details/60bd4d2878c85f70
4 of 4,0 of 0,4 of 9,0 of 0,4 of 5,4 of 8,4 of 6,2 of 3,7 of 13,0 of 0,3 of 3,10 of 19,0:31,1,0,---,0 of 0,8 of 13,61%,8 of 13,0,3:30,0,0,50%,2 of 4,21 of 31,59%,13 of 22,0,1,http://ufcstats.com/fight-details/fac560495e61d34c
0 of 0,3 of 3,8 of 14,1 of 1,1 of 1,9 of 15,0 of 0,1 of 1,8 of 13,3 of 3,2 of 2,4 of 9,0:05,0,0,---,0 of 0,21 of 27,64%,11 of 17,0,2:49,0,2,25%,1 of 4,10 of 15,64%,9 of 14,0,2,http://ufcstats.com/fight-details/fac560495e61d34c
0 of 0,1 of 1,9 of 14,0 of 0,2 of 2,8 of 13,3 of 4,6 of 8,13 of 21,2 of 2,8 of 8,12 of 23,0:00,0,0,0%,0 of 1,11 of 16,66%,10 of 15,0,0:15,0,0,---,0 of 0,26 of 39,66%,22 of 33,1,1,http://ufcstats.com/fight-details/84b04e8d6b251c54
1 of 1,1 of 2,14 of 39,2 of 2,1 of 1,13 of 39,1 of 1,2 of 2,25 of 49,14 of 15,2 of 3,12 of 34,1:01,1,0,0%,0 of 4,19 of 45,38%,16 of 42,0,0:16,0,0,---,0 of 0,38 of 62,53%,28 of 52,0,1,http://ufcstats.com/fight-details/d33814971932422a
4 of 6,1 of 1,4 of 8,0 of 0,1 of 2,8 of 13,3 of 3,0 of 0,5 of 6,3 of 3,1 of 2,4 of 4,2:44,1,2,---,0 of 0,56 of 78,60%,9 of 15,0,1:50,0,0,---,0 of 0,17 of 18,88%,8 of 9,0,2,http://ufcstats.com/fight-details/d33814971932422a
0 of 0,0 of 2,18 of 43,3 of 3,5 of 6,10 of 36,0 of 0,1 of 2,31 of 64,17 of 18,3 of 7,12 of 41,0:12,0,0,25%,1 of 4,22 of 49,40%,18 of 45,0,0:24,0,0,---,0 of 0,32 of 66,48%,32 of 66,0,3,http://ufcstats.com/fight-details/d33814971932422a
0 of 0,1 of 2,13 of 36,1 of 1,3 of 4,10 of 33,2 of 3,2 of 4,34 of 49,12 of 12,8 of 8,18 of 36,0:47,0,0,0%,0 of 2,30 of 54,36%,14 of 38,0,1:28,0,0,---,0 of 0,49 of 67,67%,38 of 56,0,4,http://ufcstats.com/fight-details/d33814971932422a
1 of 1,0 of 0,3 of 10,0 of 0,0 of 0,4 of 11,1 of 1,1 of 1,5 of 10,0 of 0,0 of 1,7 of 11,4:35,0,0,100%,1 of 1,97 of 113,36%,4 of 11,0,0:13,0,0,---,0 of 0,15 of 27,58%,7 of 12,0,5,http://ufcstats.com/fight-details/d33814971932422a
0 of 0,0 of 0,9 of 15,5 of 5,3 of 4,1 of 6,2 of 2,0 of 1,21 of 46,13 of 16,2 of 5,8 of 28,1:04,0,0,33%,1 of 3,13 of 19,60%,9 of 15,0,0:38,1,1,---,0 of 0,27 of 53,46%,23 of 49,1,1,http://ufcstats.com/fight-details/7d0d2cecab358ba1
0 of 0,0 of 1,19 of 36,5 of 5,6 of 8,8 of 24,0 of 0,0 of 0,25 of 69,4 of 5,6 of 9,15 of 55,0:50,0,0,0%,0 of 1,22 of 40,51%,19 of 37,0,0:00,0,0,0%,0 of 1,25 of 69,36%,25 of 69,0,2,http://ufcstats.com/fight-details/7d0d2cecab358ba1
7 of 7,0 of 0,5 of 8,1 of 1,0 of 0,11 of 14,2 of 2,0 of 0,10 of 21,3 of 3,2 of 2,7 of 18,3:27,0,0,---,0 of 0,47 of 52,80%,12 of 15,0,0:00,0,0,---,0 of 0,13 of 26,52%,12 of 23,0,3,http://ufcstats.com/fight-details/7d0d2cecab358ba1
0 of 0,0 of 1,4 of 17,3 of 3,0 of 3,1 of 12,6 of 6,1 of 2,7 of 15,0 of 0,6 of 7,8 of 16,0:00,0,0,---,0 of 0,5 of 19,22%,4 of 18,0,2:10,0,0,33%,1 of 3,33 of 43,60%,14 of 23,0,1,http://ufcstats.com/fight-details/a73e33dfce8fcfd8
0 of 0,0 of 0,2 of 12,0 of 0,1 of 1,1 of 11,14 of 21,0 of 0,10 of 19,2 of 2,4 of 4,18 of 34,0:00,0,0,0%,0 of 1,3 of 13,16%,2 of 12,0,3:04,0,0,0%,0 of 1,38 of 59,60%,24 of 40,1,2,http://ufcstats.com/fight-details/a73e33dfce8fcfd8
0 of 0,0 of 0,5 of 27,0 of 0,2 of 3,3 of 24,12 of 14,1 of 1,22 of 41,1 of 1,9 of 10,25 of 45,0:00,0,0,0%,0 of 1,7 of 29,18%,5 of 27,0,1:53,0,0,100%,1 of 1,48 of 69,62%,35 of 56,0,3,http://ufcstats.com/fight-details/a73e33dfce8fcfd8
0 of 0,2 of 2,1 of 1,0 of 0,3 of 3,0 of 0,0 of 0,7 of 7,2 of 2,0 of 0,8 of 8,1 of 1,0:11,0,0,0%,0 of 1,9 of 9,100%,3 of 3,0,0:02,0,1,---,0 of 0,9 of 9,100%,9 of 9,0,1,http://ufcstats.com/fight-details/1aedd959f1523a27
1 of 2,0 of 0,20 of 32,11 of 11,2 of 3,8 of 20,27 of 40,1 of 1,9 of 20,2 of 2,1 of 2,34 of 57,0:14,1,0,---,0 of 0,22 of 35,61%,21 of 34,0,2:52,0,0,66%,4 of 6,59 of 87,60%,37 of 61,0,1,http://ufcstats.com/fight-details/330506571d2778b1
0 of 1,0 of 0,26 of 59,10 of 10,5 of 7,11 of 43,8 of 15,0 of 0,12 of 31,2 of 2,2 of 3,16 of 41,0:00,0,0,---,0 of 0,29 of 63,43%,26 of 60,0,2:17,0,1,100%,3 of 3,22 of 49,43%,20 of 46,0,2,http://ufcstats.com/fight-details/330506571d2778b1
0 of 0,0 of 0,16 of 24,3 of 3,3 of 3,10 of 18,2 of 2,0 of 0,6 of 24,3 of 4,2 of 2,3 of 20,0:00,0,0,---,0 of 0,33 of 41,66%,16 of 24,0,2:53,0,0,100%,2 of 2,20 of 38,30%,8 of 26,0,3,http://ufcstats.com/fight-details/330506571d2778b1
8 of 9,5 of 7,27 of 53,3 of 3,3 of 5,34 of 61,1 of 1,6 of 7,12 of 38,2 of 2,2 of 5,15 of 39,1:40,0,0,100%,2 of 2,50 of 80,57%,40 of 69,1,0:15,0,0,50%,1 of 2,19 of 46,41%,19 of 46,0,1,http://ufcstats.com/fight-details/63f6af6d5f7b82ad
0 of 0,3 of 3,14 of 34,1 of 1,5 of 8,11 of 28,1 of 1,8 of 11,41 of 76,1 of 2,12 of 14,37 of 72,0:24,0,0,25%,1 of 4,17 of 38,45%,17 of 37,0,0:37,0,0,50%,1 of 2,52 of 91,56%,50 of 88,1,2,http://ufcstats.com/fight-details/63f6af6d5f7b82ad
0 of 0,0 of 0,4 of 12,3 of 3,0 of 1,1 of 8,9 of 9,0 of 0,2 of 5,0 of 0,3 of 4,8 of 10,0:00,0,0,---,0 of 0,24 of 34,33%,4 of 12,0,4:16,0,0,100%,1 of 1,45 of 51,78%,11 of 14,0,1,http://ufcstats.com/fight-details/de93fda66d203c26
0 of 0,0 of 1,17 of 29,7 of 7,5 of 6,5 of 17,6 of 6,1 of 1,10 of 14,0 of 0,2 of 3,15 of 18,0:00,0,0,---,0 of 0,30 of 44,56%,17 of 30,0,1:45,0,0,50%,1 of 2,19 of 24,80%,17 of 21,0,2,http://ufcstats.com/fight-details/de93fda66d203c26
0 of 0,1 of 3,6 of 25,2 of 5,2 of 2,3 of 21,0 of 0,4 of 5,6 of 8,0 of 0,1 of 1,9 of 12,0:02,0,0,---,0 of 0,14 of 35,25%,7 of 28,0,2:28,0,0,33%,1 of 3,10 of 13,76%,10 of 13,0,3,http://ufcstats.com/fight-details/de93fda66d203c26
0 of 0,0 of 0,25 of 53,4 of 7,9 of 14,12 of 32,0 of 0,0 of 0,20 of 41,4 of 4,3 of 6,13 of 31,0:00,0,0,0%,0 of 1,25 of 53,47%,25 of 53,0,0:03,0,0,---,0 of 0,22 of 43,48%,20 of 41,0,1,http://ufcstats.com/fight-details/ecc56a86a1eead9d
0 of 0,0 of 0,14 of 30,2 of 3,2 of 4,10 of 23,7 of 14,0 of 0,18 of 35,3 of 3,9 of 10,13 of 36,0:00,0,0,---,0 of 0,14 of 30,46%,14 of 30,0,0:08,0,0,---,0 of 0,29 of 53,51%,25 of 49,1,2,http://ufcstats.com/fight-details/ecc56a86a1eead9d
3 of 3,0 of 0,0 of 3,0 of 0,0 of 1,3 of 5,1 of 2,0 of 0,2 of 4,1 of 1,1 of 1,1 of 4,1:33,0,0,---,0 of 0,21 of 26,50%,3 of 6,0,2:24,1,1,100%,1 of 1,12 of 16,50%,3 of 6,0,1,http://ufcstats.com/fight-details/8c9ff13791378784
0 of 0,0 of 0,12 of 27,4 of 5,3 of 4,5 of 18,21 of 27,0 of 0,17 of 43,0 of 0,4 of 6,34 of 64,0:19,0,0,33%,1 of 3,20 of 36,44%,12 of 27,0,2:05,0,0,---,0 of 0,47 of 81,54%,38 of 70,0,1,http://ufcstats.com/fight-details/ad59e2de1ab5c8d2
0 of 0,0 of 0,2 of 7,0 of 0,2 of 4,0 of 3,0 of 0,0 of 0,8 of 13,4 of 5,3 of 3,1 of 5,0:00,0,0,---,0 of 0,2 of 7,28%,2 of 7,0,0:09,0,1,100%,1 of 1,8 of 13,61%,8 of 13,0,1,http://ufcstats.com/fight-details/6c79db79da9ae874
0 of 0,3 of 4,11 of 24,2 of 2,3 of 3,9 of 23,0 of 0,1 of 2,18 of 50,2 of 2,7 of 7,10 of 43,0:55,0,0,100%,1 of 1,23 of 37,50%,14 of 28,0,0:46,0,0,0%,0 of 3,30 of 63,36%,19 of 52,0,1,http://ufcstats.com/fight-details/df370b97ea49e6b4
0 of 0,4 of 4,11 of 40,0 of 0,4 of 5,11 of 39,0 of 0,2 of 2,19 of 50,5 of 5,2 of 4,14 of 43,0:00,0,0,---,0 of 0,36 of 65,34%,15 of 44,0,0:48,0,0,0%,0 of 4,24 of 55,40%,21 of 52,0,2,http://ufcstats.com/fight-details/df370b97ea49e6b4
0 of 0,0 of 0,13 of 48,2 of 2,3 of 4,8 of 42,0 of 0,2 of 2,27 of 61,5 of 5,3 of 4,21 of 54,0:00,0,0,---,0 of 0,26 of 61,27%,13 of 48,0,0:32,0,0,0%,0 of 5,30 of 64,46%,29 of 63,0,3,http://ufcstats.com/fight-details/df370b97ea49e6b4
0 of 0,3 of 5,9 of 20,1 of 1,3 of 3,8 of 21,3 of 3,0 of 0,22 of 52,3 of 3,5 of 6,17 of 46,0:44,0,0,100%,1 of 1,45 of 61,48%,12 of 25,0,1:41,0,0,50%,1 of 2,46 of 77,45%,25 of 55,0,4,http://ufcstats.com/fight-details/df370b97ea49e6b4
0 of 0,22 of 27,14 of 26,3 of 3,23 of 31,10 of 19,1 of 1,15 of 18,16 of 31,1 of 2,8 of 8,23 of 40,1:34,0,0,---,0 of 0,39 of 56,67%,36 of 53,0,0:39,0,0,0%,0 of 2,44 of 62,64%,32 of 50,1,1,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0
0 of 0,3 of 3,5 of 9,0 of 0,5 of 6,3 of 6,6 of 20,2 of 3,8 of 17,0 of 0,5 of 6,11 of 34,0:06,0,0,---,0 of 0,8 of 12,66%,8 of 12,0,0:35,0,0,100%,1 of 1,16 of 40,40%,16 of 40,0,2,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0
